Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
EU,Europe,ALB,Albania,1987,All,Age_all,[All],2994.0,17.28038786,92.61296408,97.33103605
EU,Europe,ALB,Albania,1988,All,Age_all,[All],2661.0,15.40554623,82.23538488,84.79653293
EU,Europe,ALB,Albania,1989,All,Age_all,[All],3248.0,17.87660301,100.22263234,102.06133736
EU,Europe,ALB,Albania,1992,All,Age_all,[All],2707.0,15.70367792,82.96609488,84.8562741
EU,Europe,ALB,Albania,1993,All,Age_all,[All],2810.0,16.88803414,90.46444,88.71349645
EU,Europe,ALB,Albania,1994,All,Age_all,[All],2047.0,13.66123865,64.42540239,63.9287945
EU,Europe,ALB,Albania,1995,All,Age_all,[All],2056.0,12.80278971,65.50126723,63.28295731
EU,Europe,ALB,Albania,1996,All,Age_all,[All],1844.0,11.01092733,61.91646175,56.1681389
EU,Europe,ALB,Albania,1997,All,Age_all,[All],1380.0,8.52799407,46.74634159,41.51249887
EU,Europe,ALB,Albania,1998,All,Age_all,[All],1267.0,7.68997329,43.39330201,37.77128548
EU,Europe,ALB,Albania,1999,All,Age_all,[All],1101.0,7.19607843,36.91792675,32.63769491
EU,Europe,ALB,Albania,2000,All,Age_all,[All],1061.0,6.4651758,40.38645432,34.07193321
EU,Europe,ALB,Albania,2001,All,Age_all,[All],804.0,5.30938387,28.63921353,26.19511122
EU,Europe,ALB,Albania,2002,All,Age_all,[All],785.0,4.83136386,27.97883816,25.45271793
EU,Europe,ALB,Albania,2003,All,Age_all,[All],813.0,4.52546618,29.56839729,26.20244401
EU,Europe,ALB,Albania,2004,All,Age_all,[All],687.0,3.87085869,24.63772312,21.96809159
EU,Europe,ALB,Albania,2005,All,Age_all,[All],536.0,3.07568715,19.62212238,17.79849842
EU,Europe,ALB,Albania,2006,All,Age_all,[All],438.0,2.58635961,16.03423411,14.63634204
EU,Europe,ALB,Albania,2007,All,Age_all,[All],381.0,2.62252203,13.6630298,12.82819212
EU,Europe,ALB,Albania,2008,All,Age_all,[All],303.0,1.87697454,11.57608299,10.28052604
EU,Europe,ALB,Albania,2009,All,Age_all,[All],229.0,1.46213766,8.8393883,7.82231526
EU,Europe,ALB,Albania,2010,All,Age_all,[All],181.0,1.49106187,6.86449748,6.21346372
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1961,All,Age_all,[All],204.0,40.55666004,349.56141377,364.28571429
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1962,All,Age_all,[All],143.0,35.30864198,281.67141377,246.55172414
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1963,All,Age_all,[All],234.0,40.76655052,324.72763298,383.60655738
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1964,All,Age_all,[All],165.0,35.25641026,244.06706969,275.0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1966,All,Age_all,[All],133.0,27.03252033,191.10360772,221.66666667
