Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
EU,Europe,ALB,Albania,1987,All,Age_all,[All],2913.0,16.81288237,122.56618923,94.69783167
EU,Europe,ALB,Albania,1988,All,Age_all,[All],2719.0,15.7413304,110.13961331,86.64478506
EU,Europe,ALB,Albania,1989,All,Age_all,[All],2737.0,15.0641202,112.18110596,86.0042735
EU,Europe,ALB,Albania,1992,All,Age_all,[All],3024.0,17.54263836,119.15263746,94.79326667
EU,Europe,ALB,Albania,1993,All,Age_all,[All],2126.0,12.77721017,93.64314462,67.11917916
EU,Europe,ALB,Albania,1994,All,Age_all,[All],2249.0,15.0093433,92.36955537,70.23735166
EU,Europe,ALB,Albania,1995,All,Age_all,[All],1525.0,9.49623264,68.28559437,46.93896396
EU,Europe,ALB,Albania,1996,All,Age_all,[All],1569.0,9.36884218,73.18472573,47.79165398
EU,Europe,ALB,Albania,1997,All,Age_all,[All],1381.0,8.53417377,63.08312475,41.54258039
EU,Europe,ALB,Albania,1998,All,Age_all,[All],1620.0,9.83248361,73.6711904,48.29477701
EU,Europe,ALB,Albania,1999,All,Age_all,[All],1492.0,9.75163399,64.88596136,44.22837493
EU,Europe,ALB,Albania,2000,All,Age_all,[All],1679.0,10.23094266,86.13871278,53.91779062
EU,Europe,ALB,Albania,2001,All,Age_all,[All],1366.0,9.02066962,52.8345501,44.50562429
EU,Europe,ALB,Albania,2002,All,Age_all,[All],1746.0,10.74593796,68.66734944,56.61203249
EU,Europe,ALB,Albania,2003,All,Age_all,[All],2087.0,11.61703312,82.64136053,67.26260844
EU,Europe,ALB,Albania,2004,All,Age_all,[All],2092.0,11.78724363,81.84464466,66.89555691
EU,Europe,ALB,Albania,2005,All,Age_all,[All],2195.0,12.59539795,76.934011,72.88750751
EU,Europe,ALB,Albania,2006,All,Age_all,[All],2031.0,11.99291408,67.47570984,67.86851753
EU,Europe,ALB,Albania,2007,All,Age_all,[All],1431.0,9.84994493,46.86866572,48.18147751
EU,Europe,ALB,Albania,2008,All,Age_all,[All],1589.0,9.84327572,50.30364357,53.91338572
EU,Europe,ALB,Albania,2009,All,Age_all,[All],1639.0,10.46481931,50.47140491,55.98591573
EU,Europe,ALB,Albania,2010,All,Age_all,[All],1479.0,12.18387017,43.19821029,50.77189414
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1961,All,Age_all,[All],62.0,12.32604374,148.25684979,110.71428571
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1962,All,Age_all,[All],53.0,13.08641975,125.54027763,91.37931035
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1963,All,Age_all,[All],48.0,8.36236934,129.27232696,78.68852459
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1964,All,Age_all,[All],55.0,11.75213675,121.94561207,91.66666667
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1966,All,Age_all,[All],50.0,10.16260163,116.32298106,83.33333333
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1969,All,Age_all,[All],51.0,12.43902439,114.2261596,80.95238095
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1970,All,Age_all,[All],36.0,8.75912409,171.07967733,56.09486265
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1971,All,Age_all,[All],43.0,10.38647343,179.57074441,66.8147987
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1972,All,Age_all,[All],86.0,18.9010989,442.09840294,134.09633106
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1973,All,Age_all,[All],44.0,11.67108753,235.65417493,69.12804399
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1974,All,Age_all,[All],50.0,10.08064516,253.28281106,79.21419518
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1975,All,Age_all,[All],50.0,10.79913607,228.27601311,79.77662545
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1976,All,Age_all,[All],48.0,9.77596741,238.34906641,76.96377892
