Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
EU,Europe,ALB,Albania,1987,All,Age_all,[All],736.0,4.24795106,24.55531998,23.92640031
EU,Europe,ALB,Albania,1988,All,Age_all,[All],772.0,4.46940311,25.76304152,24.60087314
EU,Europe,ALB,Albania,1989,All,Age_all,[All],841.0,4.62876328,27.97594233,26.42659628
EU,Europe,ALB,Albania,1992,All,Age_all,[All],1065.0,6.17821093,35.14540535,33.3845334
EU,Europe,ALB,Albania,1993,All,Age_all,[All],1320.0,7.93316906,43.08747561,41.67324388
EU,Europe,ALB,Albania,1994,All,Age_all,[All],1030.0,6.87399893,33.55573885,32.16739538
EU,Europe,ALB,Albania,1995,All,Age_all,[All],1392.0,8.66803661,43.63775932,42.84527071
EU,Europe,ALB,Albania,1996,All,Age_all,[All],1407.0,8.40150475,43.26949122,42.85714286
EU,Europe,ALB,Albania,1997,All,Age_all,[All],2596.0,16.04251638,77.74410637,78.09162831
EU,Europe,ALB,Albania,1998,All,Age_all,[All],1827.0,11.08885652,54.9232081,54.46577629
EU,Europe,ALB,Albania,1999,All,Age_all,[All],1734.0,11.33333333,51.33595572,51.4021462
EU,Europe,ALB,Albania,2000,All,Age_all,[All],1416.0,8.62835903,44.69510977,45.47206166
EU,Europe,ALB,Albania,2001,All,Age_all,[All],1281.0,8.45935416,43.46723962,41.73624064
EU,Europe,ALB,Albania,2002,All,Age_all,[All],1248.0,7.68094535,42.14177692,40.46495793
EU,Europe,ALB,Albania,2003,All,Age_all,[All],1222.0,6.80211522,40.49759334,39.38423934
EU,Europe,ALB,Albania,2004,All,Age_all,[All],1215.0,6.84584178,39.56819786,38.85186503
EU,Europe,ALB,Albania,2005,All,Age_all,[All],1214.0,6.96620187,41.23880153,40.31227067
EU,Europe,ALB,Albania,2006,All,Age_all,[All],973.0,5.74549749,32.93864208,32.51406576
EU,Europe,ALB,Albania,2007,All,Age_all,[All],964.0,6.63546256,32.47329005,32.45768296
EU,Europe,ALB,Albania,2008,All,Age_all,[All],987.0,6.11410518,32.80580176,33.48805016
EU,Europe,ALB,Albania,2009,All,Age_all,[All],891.0,5.68892862,29.68620766,30.43529647
EU,Europe,ALB,Albania,2010,All,Age_all,[All],756.0,6.22786061,25.04214641,25.95236779
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1961,All,Age_all,[All],16.0,3.18091451,47.56047763,28.57142857
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1962,All,Age_all,[All],12.0,2.96296296,21.2398142,20.68965517
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1963,All,Age_all,[All],27.0,4.70383275,65.48848049,44.26229508
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1964,All,Age_all,[All],14.0,2.99145299,27.823331,23.33333333
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1966,All,Age_all,[All],29.0,5.89430894,52.58555135,48.33333333
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1969,All,Age_all,[All],16.0,3.90243902,30.49743355,25.3968254
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1970,All,Age_all,[All],18.0,4.37956204,32.38934508,28.04743132
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1971,All,Age_all,[All],6.0,1.44927536,16.94989086,9.32299517
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1972,All,Age_all,[All],10.0,2.1978022,15.03351816,15.59259664
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1973,All,Age_all,[All],20.0,5.30503979,26.89154513,31.42183818
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1974,All,Age_all,[All],18.0,3.62903226,33.36715888,28.51711027
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1975,All,Age_all,[All],22.0,4.75161987,39.87442851,35.1017152
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1976,All,Age_all,[All],13.0,2.64765784,27.71250877,20.84435679
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1977,All,Age_all,[All],15.0,3.02419355,24.7755872,24.13166235
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1978,All,Age_all,[All],23.0,5.72139303,35.51024076,37.07524663
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1983,All,Age_all,[All],3.0,0.96153846,2.59516796,4.85539029
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1985,All,Age_all,[All],9.0,2.26700252,12.48470545,14.56640663
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1986,All,Age_all,[All],6.0,1.60427807,9.22066455,9.71596982
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1987,All,Age_all,[All],8.0,2.05128205,14.53709936,12.96239286
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1988,All,Age_all,[All],3.0,0.82644628,5.94694913,4.85664794
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1989,All,Age_all,[All],26.0,6.26506024,43.35404475,41.93007354
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1990,All,Age_all,[All],18.0,4.45544554,32.134389,28.78710338
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1991,All,Age_all,[All],24.0,5.92592593,41.70625974,37.8746035
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1992,All,Age_all,[All],23.0,5.41176471,33.70118591,35.67495463
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1993,All,Age_all,[All],26.0,5.6892779,40.88064715,39.52749441
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1994,All,Age_all,[All],13.0,2.90178571,18.08910917,19.34408666
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1995,All,Age_all,[All],15.0,3.2967033,23.89582897,21.84359983
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1998,All,Age_all,[All],25.0,5.54323725,36.57388238,34.14181143
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1999,All,Age_all,[All],33.0,6.6,47.29645087,44.19208828
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2000,All,Age_all,[All],23.0,5.69306931,32.77696645,30.25678805
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2001,All,Age_all,[All],38.0,8.22510823,51.88151525,49.2151479
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2002,All,Age_all,[All],25.0,5.63063063,33.66764297,31.93051919
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2003,All,Age_all,[All],23.0,5.09977827,29.40374061,29.0037831
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2004,All,Age_all,[All],25.0,4.89236791,31.24976374,31.11929894
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2005,All,Age_all,[All],24.0,4.90797546,31.13314461,29.46050451
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2006,All,Age_all,[All],29.0,6.11814346,35.78786711,35.06480944
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2007,All,Age_all,[All],37.0,7.6446281,43.56514731,44.03398948
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2008,All,Age_all,[All],45.0,8.52272727,52.29704661,52.69505955
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2009,All,Age_all,[All],33.0,8.87096774,37.03710792,38.04209992
