Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
EU,Europe,ALB,Albania,1987,All,Age_all,[All],10683.0,61.65877871,522.63439846,347.29040018
EU,Europe,ALB,Albania,1988,All,Age_all,[All],11121.0,64.38372026,533.00734531,354.38641216
EU,Europe,ALB,Albania,1989,All,Age_all,[All],11343.0,62.43051351,534.92597118,356.42911011
EU,Europe,ALB,Albania,1992,All,Age_all,[All],10442.0,60.57547279,453.22608433,327.32516222
EU,Europe,ALB,Albania,1993,All,Age_all,[All],10383.0,62.40158663,437.8240617,327.79794791
EU,Europe,ALB,Albania,1994,All,Age_all,[All],9658.0,64.45541911,393.84171011,301.62398501
EU,Europe,ALB,Albania,1995,All,Age_all,[All],11086.0,69.03294103,454.96252704,341.22318323
EU,Europe,ALB,Albania,1996,All,Age_all,[All],11927.0,71.21872574,487.13971296,363.29576607
EU,Europe,ALB,Albania,1997,All,Age_all,[All],10825.0,66.89531578,433.02983219,325.63246398
EU,Europe,ALB,Albania,1998,All,Age_all,[All],11762.0,71.38868657,474.8431561,350.64393036
EU,Europe,ALB,Albania,1999,All,Age_all,[All],10973.0,71.71895425,440.07112278,325.2801328
EU,Europe,ALB,Albania,2000,All,Age_all,[All],12255.0,74.67552252,525.93345005,393.54527938
EU,Europe,ALB,Albania,2001,All,Age_all,[All],11692.0,77.21059235,425.73424566,380.9368662
EU,Europe,ALB,Albania,2002,All,Age_all,[All],12469.0,76.74175283,454.65224796,404.29291701
EU,Europe,ALB,Albania,2003,All,Age_all,[All],13843.0,77.05538547,496.58263775,446.15059347
EU,Europe,ALB,Albania,2004,All,Age_all,[All],13754.0,77.49605589,474.96964544,439.80950755
EU,Europe,ALB,Albania,2005,All,Age_all,[All],13482.0,77.36271303,446.81175958,447.68536505
EU,Europe,ALB,Albania,2006,All,Age_all,[All],13493.0,79.67522882,428.9551918,450.88621714
EU,Europe,ALB,Albania,2007,All,Age_all,[All],11752.0,80.89207048,364.12038943,395.6874379
EU,Europe,ALB,Albania,2008,All,Age_all,[All],13264.0,82.16564455,397.51911908,450.03596488
EU,Europe,ALB,Albania,2009,All,Age_all,[All],12903.0,82.38411442,374.34211557,440.74818225
EU,Europe,ALB,Albania,2010,All,Age_all,[All],9723.0,80.09720735,271.52787093,333.77628578
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1961,All,Age_all,[All],221.0,43.93638171,707.97239615,394.64285714
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1962,All,Age_all,[All],197.0,48.64197531,637.31344265,339.65517241
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1963,All,Age_all,[All],265.0,46.16724739,783.28048014,434.42622951
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1964,All,Age_all,[All],234.0,50.0,740.40059257,390.0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1966,All,Age_all,[All],280.0,56.91056911,713.1243486,466.66666667
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1969,All,Age_all,[All],258.0,62.92682927,626.60775573,409.52380952
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1970,All,Age_all,[All],277.0,67.39659367,813.51859855,431.61880424
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1971,All,Age_all,[All],308.0,74.39613527,899.61172255,478.5804186
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1972,All,Age_all,[All],297.0,65.27472527,862.12751287,463.10012006
