,Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
20,EU,Europe,ALB,Albania,1987,All,Age_all,[All],17326.0,100.0,762.36887174,563.24566822
65,EU,Europe,ALB,Albania,1988,All,Age_all,[All],17273.0,100.0,751.14538502,550.42860329
126,EU,Europe,ALB,Albania,1989,All,Age_all,[All],18169.0,100.0,775.3056518,570.92131724
189,EU,Europe,ALB,Albania,1992,All,Age_all,[All],17238.0,100.0,690.49022202,540.35923639
252,EU,Europe,ALB,Albania,1993,All,Age_all,[All],16639.0,100.0,665.01912193,525.3038674
315,EU,Europe,ALB,Albania,1994,All,Age_all,[All],14984.0,100.0,584.19240672,467.95752655
371,EU,Europe,ALB,Albania,1995,All,Age_all,[All],16059.0,100.0,632.38714796,494.2903752
442,EU,Europe,ALB,Albania,1996,All,Age_all,[All],16747.0,100.0,665.51039165,510.1127018
504,EU,Europe,ALB,Albania,1997,All,Age_all,[All],16182.0,100.0,620.6034049,486.77917155
567,EU,Europe,ALB,Albania,1998,All,Age_all,[All],16476.0,100.0,646.83085662,491.17576914
610,EU,Europe,ALB,Albania,1999,All,Age_all,[All],15300.0,100.0,593.21096661,453.54834885
673,EU,Europe,ALB,Albania,2000,All,Age_all,[All],16411.0,100.0,697.15372692,527.00706487
736,EU,Europe,ALB,Albania,2001,All,Age_all,[All],15143.0,100.0,550.67524892,493.37384236
819,EU,Europe,ALB,Albania,2002,All,Age_all,[All],16248.0,100.0,593.44021247,526.82262536
882,EU,Europe,ALB,Albania,2003,All,Age_all,[All],17965.0,100.0,649.28998891,578.99988526
945,EU,Europe,ALB,Albania,2004,All,Age_all,[All],17748.0,100.0,621.02021107,567.52502108
1008,EU,Europe,ALB,Albania,2005,All,Age_all,[All],17427.0,100.0,584.60669449,578.68364165
1089,EU,Europe,ALB,Albania,2006,All,Age_all,[All],16935.0,100.0,545.40377782,565.90514247
1134,EU,Europe,ALB,Albania,2007,All,Age_all,[All],14528.0,100.0,457.125375,489.15479049
1197,EU,Europe,ALB,Albania,2008,All,Age_all,[All],16143.0,100.0,492.20464739,547.71792679
1260,EU,Europe,ALB,Albania,2009,All,Age_all,[All],15662.0,100.0,463.33911644,534.99170971
1323,EU,Europe,ALB,Albania,2010,All,Age_all,[All],12139.0,100.0,346.6327251,416.71401143
1386,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1961,All,Age_all,[All],503.0,100.0,1253.3511373,898.21428571
1461,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1962,All,Age_all,[All],405.0,100.0,1065.7649482,698.27586207
1515,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1963,All,Age_all,[All],574.0,100.0,1302.7689206,940.98360656
1575,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1964,All,Age_all,[All],468.0,100.0,1134.2366053,780.0
1641,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1966,All,Age_all,[All],492.0,100.0,1073.1364887,820.0
1701,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1969,All,Age_all,[All],410.0,100.0,907.80875589,650.79365079
1764,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1970,All,Age_all,[All],411.0,100.0,1173.510066,640.41634854
1829,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1971,All,Age_all,[All],414.0,100.0,1212.3103892,643.28666656
1890,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1972,All,Age_all,[All],455.0,100.0,1431.0596432,709.4631469
1953,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1973,All,Age_all,[All],377.0,100.0,1249.1375276,592.30164965
2016,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1974,All,Age_all,[All],496.0,100.0,1451.1709482,785.80481622
2082,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1975,All,Age_all,[All],463.0,100.0,1328.8306895,738.73155166
2142,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1976,All,Age_all,[All],491.0,100.0,1398.8277719,787.27532188
2208,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1977,All,Age_all,[All],496.0,100.0,1334.305063,797.95363503
2270,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1978,All,Age_all,[All],402.0,100.0,988.15995359,648.01083242
2333,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1983,All,Age_all,[All],312.0,100.0,620.92380057,504.96059042
2395,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1985,All,Age_all,[All],397.0,100.0,790.81005408,642.54038132
2455,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1986,All,Age_all,[All],374.0,100.0,722.17130205,605.62878518
2523,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1987,All,Age_all,[All],390.0,100.0,752.03950224,631.91665181
2568,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1988,All,Age_all,[All],363.0,100.0,710.59323519,587.65440093
2646,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1989,All,Age_all,[All],415.0,100.0,770.94196533,669.26848149
2709,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1990,All,Age_all,[All],404.0,100.0,759.09351142,646.11054248
2775,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1991,All,Age_all,[All],405.0,100.0,756.14739616,639.13393407
2835,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1992,All,Age_all,[All],425.0,100.0,728.02642467,659.21111818
2898,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1993,All,Age_all,[All],457.0,100.0,771.18649855,694.77172872
2946,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1994,All,Age_all,[All],448.0,100.0,738.76980591,666.62698649
3024,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1995,All,Age_all,[All],455.0,100.0,764.56220569,662.5891947
3087,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1998,All,Age_all,[All],451.0,100.0,701.41984871,615.91827816
3150,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1999,All,Age_all,[All],500.0,100.0,764.32277844,669.57709511
3213,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2000,All,Age_all,[All],404.0,100.0,628.34219523,531.46705957
3276,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2001,All,Age_all,[All],462.0,100.0,672.28116452,598.35258768
3339,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2002,All,Age_all,[All],444.0,100.0,631.09618016,567.08602082
3404,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2003,All,Age_all,[All],451.0,100.0,632.03029746,568.72635561
3465,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2004,All,Age_all,[All],511.0,100.0,697.4008079,636.07847042
